document_id,equipment_id,eqnet_equipment_id,org_name,prefecture_before,prefecture_after,region_before,region_after,prefecture_source,match_mode,matched_org_name
eqnet-1194,eqnet-1194,1194,横浜国立大学 研究推進機構 機器分析評価センター,,神奈川県,,関東,eqnet_org_map,prefix,横浜国立大学
eqnet-1195,eqnet-1195,1195,横浜国立大学 研究推進機構 機器分析評価センター,,神奈川県,,関東,eqnet_org_map,prefix,横浜国立大学
eqnet-1196,eqnet-1196,1196,横浜国立大学 研究推進機構 機器分析評価センター,,神奈川県,,関東,eqnet_org_map,prefix,横浜国立大学
eqnet-1197,eqnet-1197,1197,横浜国立大学 研究推進機構 機器分析評価センター,,神奈川県,,関東,eqnet_org_map,prefix,横浜国立大学
eqnet-1198,eqnet-1198,1198,横浜国立大学 研究推進機構 機器分析評価センター,,神奈川県,,関東,eqnet_org_map,prefix,横浜国立大学
eqnet-1200,eqnet-1200,1200,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1201,eqnet-1201,1201,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1202,eqnet-1202,1202,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1204,eqnet-1204,1204,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1205,eqnet-1205,1205,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1206,eqnet-1206,1206,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1207,eqnet-1207,1207,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1208,eqnet-1208,1208,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1209,eqnet-1209,1209,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1210,eqnet-1210,1210,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1211,eqnet-1211,1211,宇都宮大学 研究推進機構 機器分析センター 管理室,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1212,eqnet-1212,1212,宇都宮大学 バイオサイエンス教育研究センター ゲノミクス解析部門,,栃木県,,関東,eqnet_org_map,prefix,宇都宮大学
eqnet-1213,eqnet-1213,1213,山形大学 工学部,,山形県,,東北,eqnet_org_map,prefix,山形大学
eqnet-1214,eqnet-1214,1214,山形大学 工学部,,山形県,,東北,eqnet_org_map,prefix,山形大学
eqnet-1220,eqnet-1220,1220,佐賀大学 総合分析実験センター 本庄地区 機器分析部門,,佐賀県,,九州,eqnet_org_map,prefix,佐賀大学
eqnet-1223,eqnet-1223,1223,佐賀大学 総合分析実験センター 本庄地区 機器分析部門,,佐賀県,,九州,eqnet_org_map,prefix,佐賀大学
eqnet-1226,eqnet-1226,1226,佐賀大学 総合分析実験センター 本庄地区 機器分析部門,,佐賀県,,九州,eqnet_org_map,prefix,佐賀大学
eqnet-1228,eqnet-1228,1228,佐賀大学 総合分析実験センター 本庄地区 機器分析部門,,佐賀県,,九州,eqnet_org_map,prefix,佐賀大学
eqnet-1229-1f0c85b7,eqnet-1229-1f0c85b7,1229,佐賀大学 文化教育学部,,佐賀県,,九州,eqnet_org_map,prefix,佐賀大学
eqnet-1239,eqnet-1239,1239,愛媛大学 学術支援センター物質科学部門,,愛媛県,,四国,eqnet_org_map,prefix,愛媛大学
eqnet-1242,eqnet-1242,1242,愛媛大学 学術支援センター物質科学部門,,愛媛県,,四国,eqnet_org_map,prefix,愛媛大学
eqnet-1262-00eba7d8,eqnet-1262-00eba7d8,1262,長崎大学 水産・環境科学総合研究科,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1268,eqnet-1268,1268,長崎大学 歯学部,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1284,eqnet-1284,1284,長崎大学 歯学部,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1306,eqnet-1306,1306,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1307,eqnet-1307,1307,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1309,eqnet-1309,1309,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1310,eqnet-1310,1310,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1312,eqnet-1312,1312,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1313,eqnet-1313,1313,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1314,eqnet-1314,1314,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1316,eqnet-1316,1316,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1317,eqnet-1317,1317,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1318,eqnet-1318,1318,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1319,eqnet-1319,1319,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1321,eqnet-1321,1321,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1323,eqnet-1323,1323,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1324,eqnet-1324,1324,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1325,eqnet-1325,1325,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1326,eqnet-1326,1326,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1327,eqnet-1327,1327,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1328,eqnet-1328,1328,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1329,eqnet-1329,1329,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1331,eqnet-1331,1331,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1333,eqnet-1333,1333,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1334,eqnet-1334,1334,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1336,eqnet-1336,1336,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1337,eqnet-1337,1337,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1338,eqnet-1338,1338,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1339,eqnet-1339,1339,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1345,eqnet-1345,1345,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1346,eqnet-1346,1346,名古屋大学 医学教育研究支援センター分析機器部門,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
