eqnet_equipment_id,large_category_id,large_category_name,category_id,category_name_raw,category_small_name,equipment_count_hint,source_total,candidate_count,has_conflict
624,39,構造解析/元素分析,44,蛍光X線装置 (37 台),蛍光X線装置,37,37,1,False
625,188,成膜・蒸着・膜厚測定,189,エリプソメーター (14 台),エリプソメーター,14,14,1,False
626,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
632,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
634,26,光分析装置,28,蛍光分光装置(FL) (26 台),蛍光分光装置(FL),26,26,1,False
637,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
642,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
643,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
644,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
645,130,質量分析装置(MS),137,GC-MS/GC-TOF-MS (18 台),GC-MS/GC-TOF-MS,18,18,1,False
646,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
647,130,質量分析装置(MS),140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,12,1,False
648,130,質量分析装置(MS),136,LC-MS/LC-MS-MS(ハイブリッド) (14 台),LC-MS/LC-MS-MS(ハイブリッド),14,14,1,False
649,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
650,144,光学顕微鏡/病理,148,共焦点顕微鏡(Confocal microscopy) (50 台),共焦点顕微鏡(Confocal microscopy),50,50,1,False
651,168,遺伝子・ゲノム,170,DNAシーケンサー(NGS) (35 台),DNAシーケンサー(NGS),35,35,1,False
652,168,遺伝子・ゲノム,169,DNAシーケンサー(サンガ―法) (30 台),DNAシーケンサー(サンガ―法),30,30,1,False
653,168,遺伝子・ゲノム,169,DNAシーケンサー(サンガ―法) (30 台),DNAシーケンサー(サンガ―法),30,30,1,False
657,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
658,130,質量分析装置(MS),140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,12,1,False
659,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
661,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
663,10,核磁気共鳴装置(NMR),22,700MHz NMR装置 (3 台),700MHz NMR装置,3,3,1,False
672,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
673,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
674,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
675,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
676,39,構造解析/元素分析,40,ICP/MS (15 台),ICP/MS,15,15,1,False
677,39,構造解析/元素分析,41,ICP発光分析装置 (27 台),ICP発光分析装置,27,27,1,False
678,26,光分析装置,31,旋光計(polarimeter) (8 台),旋光計(polarimeter),8,8,1,False
679,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
680,50,専用測定装置,61,表面粗さ・表面形状測定器 (15 台),表面粗さ・表面形状測定器,15,15,1,False
681,50,専用測定装置,61,表面粗さ・表面形状測定器 (15 台),表面粗さ・表面形状測定器,15,15,1,False
685,39,構造解析/元素分析,46,原子吸光光度計 (9 台),原子吸光光度計,9,9,1,False
689,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
690,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
691,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
693,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
